Would it be appropriate for you, Madam President, to write a letter to the Sri Lankan President expressing Parliament's regret at his and the other violent deaths in Sri Lanka and urging her to do everything she possibly can to seek a peaceful reconciliation to a very difficult situation?	¿Sería apropiado que usted, Señora Presidenta, escribiese una carta al Presidente de Sri Lanka expresando las condolencias del Parlamento por esa y otras muertes violentas, pidiéndole que haga todo lo posible para encontrar una reconciliación pacífica ante la extremadamente difícil situación que está viviendo su país?
Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.	Sí, señor Evans, pienso que una iniciativa como la que usted acaba de sugerir sería muy adecuada.
If the House agrees, I shall do as Mr Evans has suggested.	Si la Asamblea está de acuerdo, haré lo que el señor Evans acaba de sugerir.
Madam President, on a point of order.	Señora Presidenta, una cuestión de procedimiento.
I would like your advice about Rule 143 concerning inadmissibility.	Me gustaría que me asesorara sobre el Artículo 143 concerniente a la inadmisibilidad.
My question relates to something that will come up on Thursday and which I will then raise again.	Mi pregunta se refiere a un asunto del que se hablará el jueves, día que en volveré a plantearla.
The Cunha report on multiannual guidance programmes comes before Parliament on Thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually.	El informe Cunha sobre los programas de dirección plurianual se presenta al Parlamento el jueves y contiene una propuesta en el apartado 6 en torno a una forma de penalizaciones basada en cuotas que debe aplicarse a los países que no cumplan anualmente sus objetivos de reducción de flota.
It says that this should be done despite the principle of relative stability.	El informe estipula que se debe aplicarse a pesar del principio de estabilidad relativa.
I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.	Creo que el principio de estabilidad relativa es un principio legal fundamental de las políticas pesqueras comunitarias, por lo que una propuesta que lo subvierta es legalmente inadmisible.
I want to know whether one can raise an objection of that kind to what is merely a report, not a legislative proposal, and whether that is something I can competently do on Thursday.	Quiero saber si se puede hacer este tipo de objeción a lo que sólo es un informe, no una propuesta legislativa, y si es algo que puedo plantear el jueves.
